,class,title,date,url
26,수업학적,[LINC3.0] 제4회 대구경북 극한환경 드론 경진대 ...,2023-09-11,https://daegu.ac.kr/article/DG159/detail/637603
27,예비군,2023년도 후반기 휴일전국단위 예비군 잔여일정 안내,2023-09-11,https://daegu.ac.kr/article/DG159/detail/637602
28,학생모집,[LINC3.0] 2023학년도 산학연협력 성과확산 학 ...,2023-09-11,https://daegu.ac.kr/article/DG159/detail/637600
29,학생모집,[대학혁신] 2023학년도 학적변동 성공사례 수기 공 ...,2023-09-11,https://daegu.ac.kr/article/DG159/detail/637590
30,수업학적,9.15. 진로취업 홈페이지(All in Care 시스 ...,2023-09-11,https://daegu.ac.kr/article/DG159/detail/637588
31,장학,2023학년도 2학기 자기주도활동 실적 입력 안내,2023-09-11,https://daegu.ac.kr/article/DG159/detail/637585
32,학생모집,[대학혁신] DU 전공교육과정 모니터링단 2학기 추가 ...,2023-09-11,https://daegu.ac.kr/article/DG159/detail/637583
33,학생모집,[국제처]2023-2 외국인 유학생 한국어 학습 지원 ...,2023-09-08,https://daegu.ac.kr/article/DG159/detail/637574
34,학생모집,[국제처]2023-2 외국인 유학생 적응지원 버디버디 ...,2023-09-08,https://daegu.ac.kr/article/DG159/detail/637573
35,행정안내,"지진행동요령(장소별, 상황별) 및 지진안전주간 안내",2023-09-08,https://daegu.ac.kr/article/DG159/detail/637572
36,학생모집,[공공기관직무체험]코레일 유통과 함께하는 지역강소기업 ...,2023-09-08,https://daegu.ac.kr/article/DG159/detail/637571
37,학생모집,학생 대상 초청특강 안내(국민의 힘 이준석 전 대표),2023-09-08,https://daegu.ac.kr/article/DG159/detail/637569
38,도서관,대학원생을 위한 논문작성 전략 및 논문통계 특강,2023-09-08,https://daegu.ac.kr/article/DG159/detail/637560
39,장학,[장학재단] 2023년 2학기 국가장학금 신청자 가구원 ...,2023-09-07,https://daegu.ac.kr/article/DG159/detail/637557
40,도서관,[DBpia+아카루트] 논문 투고료 지원 안내,2023-09-07,https://daegu.ac.kr/article/DG159/detail/637554
41,수업학적,[수강포기]2023-2학기 수강포기 신청기간 및 방법 ...,2023-09-07,https://daegu.ac.kr/article/DG159/detail/637553
42,행정안내,2023 대구·경북권역 교수자·학생을 위한 원격교육 역 ...,2023-09-07,https://daegu.ac.kr/article/DG159/detail/637550
43,도서관,2023 도서관 이용자 만족도 조사 실시 ★경품 증정★,2023-09-07,https://daegu.ac.kr/article/DG159/detail/637546
44,장학,2023년 통영시 상반기분 대학생 학자금 이자 지원 신 ...,2023-09-06,https://daegu.ac.kr/article/DG159/detail/637543
45,수업학적,[교직]2023-2 응급처치 및 심폐소생술 교육 신청 ...,2023-09-06,https://daegu.ac.kr/article/DG159/detail/637540
46,수업학적,[도서관] 해외 학술 DB 교육 일정 안내,2023-09-06,https://daegu.ac.kr/article/DG159/detail/637538
47,수업학적,[LINC3.0] 2023학년도 산학연협력 성과확산 학 ...,2023-09-06,https://daegu.ac.kr/article/DG159/detail/637536
48,학생모집,[LINC3.0]대구경북 소상공인·사회적경제기업 지원 ...,2023-09-06,https://daegu.ac.kr/article/DG159/detail/637532
49,도서관,A+ 리포트 완전정복,2023-09-06,https://daegu.ac.kr/article/DG159/detail/637531
50,도서관,논문표절 예방을 위한 카피킬러 이용교육,2023-09-06,https://daegu.ac.kr/article/DG159/detail/637530
51,장학,2023년도 하반기 춘천시민장학재단 장학생 선발 안내,2023-09-06,https://daegu.ac.kr/article/DG159/detail/637528
52,장학,2023년도 (재)광산장학회 장학생 선발공고,2023-09-06,https://daegu.ac.kr/article/DG159/detail/637527
53,수업학적,[수업] 2023-2 폐강 공지 및 폐강 강좌 수강자 ...,2023-09-06,https://daegu.ac.kr/article/DG159/detail/637525
54,교육봉사,[교육봉사] 대전가원학교 2023학년도 2학기 일일 자 ...,2023-09-05,https://daegu.ac.kr/article/DG159/detail/637511
55,예비군,예비군훈련에 참가하는 학생(예비군)의 학업 보장 관련사 ...,2023-09-05,https://daegu.ac.kr/article/DG159/detail/637500
